Parameter,mice_20nm_diff,mice_20nm_perf,mice_220nm_diff,mice_220nm_perf,mice_1000nm_diff,mice_1000nm_perf,mice_6000nm_diff,mice_6000nm_perf,Calibration bounds,human_20nm_diff,human_20nm_perf,human_220nm_diff,human_220nm_perf,human_1000nm_diff,human_1000nm_perf,human_6000nm_diff,human_6000nm_perf,human_fit_diff,human_fit_perf,unit,Calibration bounds
fua,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,unitless,
ftra,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,unitless,
fpul,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,unitless,
Kua_stom,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1/h,
Kua_tra,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1/h,
Kua_pul,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1/h,
Ktra_stom,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1/h,
Ktra_pul,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1/h,
Kpul_ua,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1/h,
Kpul_tra,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1/h,
Kres_tra,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1/h,
Kstom_sit,0.182956182,0.182956182,0.117767778,0.117767778,0.153546771,0.153546771,0.070077636,0.070077636,0.01-1,0.025151135,0.025151135,0.016189632,0.016189632,0.021108199,0.021108199,0.009633629,0.009633629,size-dep,size-dep,1/h,
Ksit_lit,0.466584914,0.466584914,0.996289146,0.996289146,0.692050254,0.692050254,1.455699486,1.455699486,0.1-2,0.064141806,0.064141806,0.136960676,0.136960676,0.095136709,0.095136709,0.200116188,0.200116188,size-dep,size-dep,unitless,
