parameters,mice_20nm_diff,mice_20nm_perf,mice_1000nm_diff,mice_1000nm_perf,Calibration bounds,human_20nm_perf,human_20nm_diff,human_1000nm_perf,human_1000nm_diff,human_fit_perf,human_fit_diff,unit
fua,0.503235952,0.503235952,0.248959246,0.248959246,derived from MPPD model,0,0,0.0381,0.0381,size-dep,size-dep,unitless
ftra,0.286542806,0.286542806,0.202270076,0.202270076,derived from MPPD model,0,0,0.0676,0.0676,size-dep,size-dep,unitless
fpul,0.155736258,0.155736258,0.297693461,0.297693461,derived from MPPD model,0.248,0.248,0.0417,0.0417,size-dep,size-dep,unitless
Kua_stom,0.021139508,0.021139508,0.9,0.9,0.01-1,0.002906065,0.002906065,0.123723729,0.123723729,size-dep,size-dep,1/h
Kua_tra,0.1,0.1,0.1,0.1,,0.013747081,0.013747081,0.013747081,0.013747081,0.013747081,0.013747081,1/h
Kua_pul,0.00001,0.00001,0.00001,0.00001,,1.37E-06,1.37E-06,1.37E-06,1.37E-06,1.37E-06,1.37E-06,1/h
Ktra_stom,0.399316086,0.399316086,1,1,0.1-1,0.054894306,0.054894306,0.13747081,0.13747081,size-dep,size-dep,1/h
Ktra_pul,0.00001,0.00001,0.00001,0.00001,,1.37E-06,1.37E-06,1.37E-06,1.37E-06,1.37E-06,1.37E-06,1/h
Kpul_ua,0.006931426,0.006931426,0.007277775,0.007277775,0.001-0.01,0.000952869,0.000952869,0.001000482,0.001000482,size-dep,size-dep,1/h
Kpul_tra,0.00086,0.00086,0.00086,0.00086,,0.000118225,0.000118225,0.000118225,0.000118225,0.000118225,0.000118225,1/h
Kres_tra,0.003,0.003,0.003,0.003,,0.000412412,0.000412412,0.000412412,0.000412412,0.000412412,0.000412412,1/h
Kstom_sit,0.239434227,0.239434227,0.302449,0.302449,0.1-0.5,0.032915217,0.032915217,0.041577909,0.041577909,size-dep,size-dep,1/h
Ksit_lit,1.00E-05,1.00E-05,1.00E-07,1.00E-07,0.0000001-0.00001,1.37E-06,1.37E-06,1.37E-08,1.37E-08,size-dep,size-dep,unitless
