parameters,model,unit,seg_from_nm,seg_to_nm,y_from,y_to,x_from,x_to,slope_m,intercept_a,equation
Kagg,diff,unitless,20,220,0.258284732,0.24032689,1.301029996,2.342422681,-0.017244064,0.280719776,value = 0.2807197764 + -0.01724406389*log10(size_nm)   for 20<=size<=220
Kagg,diff,unitless,220,1000,0.24032689,0.026572983,2.342422681,3,-0.325062773,1.001761303,value = 1.001761303 + -0.3250627733*log10(size_nm)   for 220<=size<=1000
Kagg,diff,unitless,1000,6000,0.026572983,0.081345181,3,3.77815125,0.070387599,-0.184589813,value = -0.1845898133 + 0.07038759878*log10(size_nm)   for 1000<=size<=6000
Kagg,perf,unitless,20,220,0.258284732,0.24032689,1.301029996,2.342422681,-0.017244064,0.280719776,value = 0.2807197764 + -0.01724406389*log10(size_nm)   for 20<=size<=220
Kagg,perf,unitless,220,1000,0.24032689,0.026572983,2.342422681,3,-0.325062773,1.001761303,value = 1.001761303 + -0.3250627733*log10(size_nm)   for 220<=size<=1000
Kagg,perf,unitless,1000,6000,0.026572983,0.081345181,3,3.77815125,0.070387599,-0.184589813,value = -0.1845898133 + 0.07038759878*log10(size_nm)   for 1000<=size<=6000
Kbile,diff,1/h,20,220,1.37E-07,1.37E-07,1.301029996,2.342422681,0,1.37E-07,value = 1.37471e-07 + 0*log10(size_nm)   for 20<=size<=220
Kbile,diff,1/h,220,1000,1.37E-07,1.37E-07,2.342422681,3,0,1.37E-07,value = 1.37471e-07 + 0*log10(size_nm)   for 220<=size<=1000
Kbile,diff,1/h,1000,6000,1.37E-07,1.37E-07,3,3.77815125,0,1.37E-07,value = 1.37471e-07 + 0*log10(size_nm)   for 1000<=size<=6000
Kbile,perf,1/h,20,220,1.37E-07,1.37E-07,1.301029996,2.342422681,0,1.37E-07,value = 1.37471e-07 + 0*log10(size_nm)   for 20<=size<=220
Kbile,perf,1/h,220,1000,1.37E-07,1.37E-07,2.342422681,3,0,1.37E-07,value = 1.37471e-07 + 0*log10(size_nm)   for 220<=size<=1000
Kbile,perf,1/h,1000,6000,1.37E-07,1.37E-07,3,3.77815125,0,1.37E-07,value = 1.37471e-07 + 0*log10(size_nm)   for 1000<=size<=6000
Kdiss,diff,unitless,20,220,0.041241243,0.027494162,1.301029996,2.342422681,-0.01320067,0.05841571,value = 0.05841571041 + -0.01320066983*log10(size_nm)   for 20<=size<=220
